source_sheet,source_row,retailer,product_id,product,forecast_total_cases,promo_id,promotion_type,description,unmapped_reason
2025,4165,NA-LONDON DRUGS,TDL,TDL CAN,2208.0,000HJDROX,Ad Fee,TD SEPTEMBER MANAGERS SPECIAL,Product ID not found in product list or no pack size
2025,4174,NA-LONDON DRUGS,TDL,TDL CAN,1570.0,000HJE3YD,Ad Fee,TD - SEPTEMBER DISPLAY,Product ID not found in product list or no pack size
2025,4183,NA-LONDON DRUGS,TDL,TDL CAN,964.0,000HJDHO6,Ad Fee,TD - SEPTEMBER 20 FLYER,Product ID not found in product list or no pack size
2025,4187,NA-LONDON DRUGS,TDL,TDL CAN,2323.0,000HJDMR1,Admin Fee,TD - OCTOBER MANAGERS SPECIAL,Product ID not found in product list or no pack size
2025,4198,NA-LONDON DRUGS,TDL,TDL CAN,643.0,000HJDRS1,Ad Fee,TD - OCTOBER 4 FLYER,Product ID not found in product list or no pack size
2025,4208,NA-LONDON DRUGS,TDL,TDL CAN,2579.0,000HJEAOC,Ad Fee,TD NOV MANAGERS SPECIAL,Product ID not found in product list or no pack size
2025,4226,NA-LONDON DRUGS,TDL,TDL CAN,1309.0,000HJEDEI,Ad Fee,TD NOV 15 FLYER,Product ID not found in product list or no pack size
2025,4235,NA-LONDON DRUGS,TDL,TDL CAN,4050.0,000HJDLTA,Ad Fee,TD DECEMBER MANAGERS SPECIAL,Product ID not found in product list or no pack size
2025,4248,NA-LONDON DRUGS,TDL,TDL CAN,4093.0,000HJE3Z1,Ad Fee,TD DECEMBER POWER END,Product ID not found in product list or no pack size
2025,4254,NA-LONDON DRUGS,TDL,TDL CAN,2181.0,000HJDH12,Ad Fee,TD DECEMBER 13 FLYER,Product ID not found in product list or no pack size
2025,4327,NA-MCKESSON,TDL,TDL CAN,144.0,000I6JILQ,Special,TD Rexall Wing Rack Markdown,Product ID not found in product list or no pack size
2025,4329,NA-MCKESSON,TDL,TDL CAN,268.0,000HJDZLW,Trade Show,TD - PHARMACHOICE TRADE SHOW,Product ID not found in product list or no pack size
2025,4346,NA-MCKESSON,TDL,TDL CAN,902.0,000ICSS46,Special,McKesson Wholesale Admin Fee Price Increase,Product ID not found in product list or no pack size
2025,4375,NA-MCKESSON,TDL,TDL CAN,4418.0,000HJEFXN,TPR/ISF,TD 6 Retail Banner trade Show,Product ID not found in product list or no pack size
2025,4539,NA-METRO ONTARIO,TDL,TDL CAN,257994.0,000HJEE9A,Display Allowance,TD Metro Bnr 1.77% Rate (58% of total) Harm/LS,Product ID not found in product list or no pack size
2025,4541,NA-METRO ONTARIO,TDL,TDL CAN,259626.0,000J595Z7,Special,TD Metro Late Fines,Product ID not found in product list or no pack size
2025,4657,NA-METRO ONTARIO,TDL,TDL CAN,18439.0,000HJD9UM,Special,TD MO Golf Tournament 2025 $5k,Product ID not found in product list or no pack size
2025,4809,NA-METRO QUEBEC,TDL,TDL CAN,175341.0,000HJE1WA,Discd,TD Metro Soups delist cost,Product ID not found in product list or no pack size
2025,4965,NA-METRO QUEBEC,TDL,TDL CAN,66341.0,000HJDHSA,Special,TD Metro Corporate Events 2025 Lobster Event,Product ID not found in product list or no pack size
2025,4967,NA-METRO QUEBEC,TDL,TDL CAN,66341.0,000HJE5KE,Special,TD Metro Corporate Events 2025 Golf Tournament,Product ID not found in product list or no pack size
2025,5046,NA-NORTHWEST COMPANY,TDL,TDL CAN,68521.0,000HJE3C1,Special,TD - NWCo Item MAINTENANCE FEES,Product ID not found in product list or no pack size
2025,5241,NA-NORTHWEST COMPANY,TDL,TDL CAN,5461.0,000IXIIHS,Customer Event,TD NCR Quarterly Endcap payment,Product ID not found in product list or no pack size
2025,5312,NA-NORTHWEST COMPANY,TDL,TDL CAN,6761.0,000IXIII1,Customer Event,TD NCR Quarterly Endcap payment,Product ID not found in product list or no pack size
2025,6208,NA-SHOPPER'S DRUG,TDL,TDL CAN,47850.0,000IDSW44,Contract,TD SDM P1-P3 2025 Coffee Partnership JBP Lumpsum,Product ID not found in product list or no pack size
2025,6210,NA-SHOPPER'S DRUG,TDL,TDL CAN,54220.0,000HRCODT,Points,TD - SDM PC PLUS POINTS - Mass Q1,Product ID not found in product list or no pack size
2025,6260,NA-SHOPPER'S DRUG,TDL,TDL CAN,20538.0,000HRCGRW,Points,"TD SDM FEB CANS, LRG AND SM",Product ID not found in product list or no pack size
2025,6298,NA-SHOPPER'S DRUG,TDL,TDL CAN,33716.0,000HRCKYJ,Points,TD - SDM PC PLUS POINTS - Mass Q2,Product ID not found in product list or no pack size
2025,6326,NA-SHOPPER'S DRUG,TDL,TDL CAN,36412.0,000HRCIYS,Points,TD - SDM PC PLUS POINTS - Mass Q3,Product ID not found in product list or no pack size
2025,6328,NA-SHOPPER'S DRUG,TDL,TDL CAN,13652.0,000HRCGTX,Points,TD - SDM PC PLUS POINTS - Mass Q4,Product ID not found in product list or no pack size
2025,6330,NA-SOBEYS,TDL,TDL CAN,44745.0,000IK03Y3,Write Off,TD Sobeys 2023 Invalid 600+ days aging write-off,Product ID not found in product list or no pack size
2026,292,CG-SOBEY'S QUEBEC,TDL,TDL CAN,18729.0,000ITIX4J,Special,TD IGA  Flap Up Beverage AD 5 to 11 feb   HC Event Breakfast,Product ID not found in product list or no pack size
2026,338,CG-SOBEY'S QUEBEC,TDL,TDL CAN,34171.0,000J34387,Special,TD IGA Side Panel for Promo Feb 19-April 8,Product ID not found in product list or no pack size
2026,348,CG-SOBEY'S QUEBEC,TDL,TDL CAN,7256.0,000J5H5H4,Special,TD IGA AD  Mar 19-25  Scene points (price increase Agreement,Product ID not found in product list or no pack size
2026,388,CG-SOBEY'S QUEBEC,TDL,TDL CAN,42955.0,000J7SVIL,Special,TD IGA Side Panel for Promo April 9- May 13 Kcup 12,Product ID not found in product list or no pack size
