comparison_key,product_id,product,blended_product_group,blended_mpg,separate_product_group,separate_mpg,cases_per_display,converted,conversion_note
mom,6320912133,TDL ORG/DR KCUP DISPLAY 48/12 CT,Single Serve,SS KComp 6/12ct,Single Serve Displays,SS KComp 48/12ct,8.0,yes,Display pack 48/12CT converted to regular case pack 6/12CT
mom,6320923971,TDL ORG/DR/PKS KCUP DISPLAY 48/12CT,Single Serve,SS KComp 6/12ct,Single Serve Displays,SS KComp 48/12ct,8.0,yes,Display pack 48/12CT converted to regular case pack 6/12CT
mom,6320925369,TDL GBR/ORG KCUP DISPLAY 48/12CT,Single Serve,SS KComp 6/12ct,Single Serve Displays,SS KComp 48/12ct,8.0,yes,Display pack 48/12CT converted to regular case pack 6/12CT
mom,6320926000,TDL PKS/ORG KCUP DISPLAY 48/12CT,Single Serve,SS KComp 6/12ct,Single Serve Displays,SS KComp 48/12ct,8.0,yes,Display pack 48/12CT converted to regular case pack 6/12CT
mom,6320926021,TDL PKS/ORG/DEC SS 1/2 DRP 240/12CT,Single Serve,SS KComp 6/12ct,Single Serve Displays,SS KComp 240/1ea,40.0,yes,Display pack 240/12CT converted to regular case pack 6/12CT
mom,6320926022,TDL GBR/ORG/FVC SS 1/2 DRP 240/12CT,Single Serve,SS KComp 6/12ct,Single Serve Displays,SS KComp 240/1ea,40.0,yes,Display pack 240/12CT converted to regular case pack 6/12CT
mom,TDSSKC-48/12,SS KCOMP 48/12CT,Single Serve,SS KComp 6/12ct,Single Serve Displays,SS KComp 48/12ct,8.0,yes,Display pack 48/12CT converted to regular case pack 6/12CT
mom,6320913827,TDL CN/COB/CR SOUP 1/2 DRP 192/540 ML,Soups and Hot Bowls,Soups 12/540ml,Soups and Hot Bowls Displays,Soups 192/540ml,16.0,yes,Display pack 192/540ML converted to regular case pack 12/540ML
mom,6320917474,TDL COB/CN/CR/PB SOUP 1/2 DRP 288/540 ML,Soups and Hot Bowls,Soups 12/540ml,Soups and Hot Bowls Displays,Soups 288/540ml,24.0,yes,Display pack 288/540ML converted to regular case pack 12/540ML
mom,6320923630,TDL COB/CN/IW SOUP 1/2 DRP 288/540 ML,Soups and Hot Bowls,Soups 12/540ml,Soups and Hot Bowls Displays,Soups 288/540ml,24.0,yes,Display pack 288/540ML converted to regular case pack 12/540ML
mom,TDSHSP-192/540,SOUPS 192/540ML,Soups and Hot Bowls,Soups 12/540ml,Soups and Hot Bowls Displays,Soups 192/540ml,16.0,yes,Display pack 192/540ML converted to regular case pack 12/540ML
mom,6320915034,TDL HOT BEVERAGE MIX DISPLAYER 36/1 EA,Sweet & Creamy,HB Mix 4/24ea,Sweet & Creamy Displays,HB Mix Displayer 36/1ea,9.0,yes,Display pack 36/1EA converted to regular case pack 4/24EA
mom,6320920674,TDL KCUP WINTER/HC/FVC DISPLAY 48/10 CT,Sweet & Creamy,HB Mix 4/24ea,Sweet & Creamy Displays,HB Mix Displayer 48/10ea,12.0,yes,Display pack 48/10EA converted to regular case pack 4/24EA
mom,6320924394,TDL HOT CHOC/FVC 1/2 DRP 150/1 EA,Sweet & Creamy,HB Mix 4/24ea,Sweet & Creamy Displays,HB Mix Drp 150/1ea,37.5,yes,Display pack 150/1EA converted to regular case pack 4/24EA
mom,6320925415,TDL ICECOF SYRUP CAP/MOCHA DISP 32/470ML,Syrups,Syrups 12/470ml,Syrups Displays,Syrups 32/470ml,2.666667,yes,Display pack 32/470ML converted to regular case pack 12/470ML
mom,TDSIC-32/470,SYRUPS 32/470ML,Syrups,Syrups 12/470ml,Syrups Displays,Syrups 32/470ml,2.666667,yes,Display pack 32/470ML converted to regular case pack 12/470ML
yoy,TDSHSP-576/284,SOUPS 576/284ML,Condensed Soup,Soups 24/284ml,Condensed Soup Displays,Soups 576/284ml,24.0,yes,Display pack 576/284ML converted to regular case pack 24/284ML
yoy,6320914293,TDL GRANOLA BAR AF/DC/SC DISP 56/5 EA,Granola,Granola Bar 12/5/30g,Granola Displays,Granola Bar 56/5ea,4.666667,yes,Display pack 56/5EA converted to regular case pack 12/5EA
yoy,6320917215,TDL GRANOLA BAR BC/DC/SC DISP 56/5 EA,Granola,Granola Bar 12/5/30g,Granola Displays,Granola Bar 56/5ea,4.666667,yes,Display pack 56/5EA converted to regular case pack 12/5EA
yoy,TDGB-56/5,GRANOLA BAR 56/5EA,Granola,Granola Bar 12/5/30g,Granola Displays,Granola Bar 56/5ea,4.666667,yes,Display pack 56/5EA converted to regular case pack 12/5EA
yoy,6320912137,TDL ORIGINAL HOT CHOC DISPLAY 36/500 GR,Hot Chocolate,HB Hot Chocolate 12/500g,Hot Chocolate Displays,HB Hot Chocolate 36/500g,3.0,yes,Display pack 36/500G converted to regular case pack 12/500G
