comparison_key,data_mode,banner,market,year,period,month,product_group,mpg,product_id,product,promo_id,promo_status,promotion_type,execution_start,execution_end,source_fcst_inc_cases,unit_type,cases_per_display,converted_fcst_inc_cases,mode_fcst_inc_cases,prorate_weight,execution_days_in_month,execution_days_total,month_cases,source_workbook,source_sheet,source_row,conversion_note
yoy,separate,SDM,CG-SDM,2025,2025,May,Instant,Instant Coffee 12/100g,TDIC-12/100,INSTANT COFFEE 12/100GR,000HRCHNW,Closed,TPR/ISF,2025-05-24,2025-05-30,10.0,CASE,,10.0,10.0,1.0,7,7,10.0,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,50,Reported as regular cases
yoy,blended,SDM,CG-SDM,2025,2025,May,Roast & Ground,R&G Small Bag 6/300g,TDRGSB-6/300,R&G SMALL BAG 6/300GR,000HRCGU2,Closed,TPR/ISF,2025-05-31,2025-06-06,680.0,CASE,,680.0,680.0,0.14285714,1,7,97.142857,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,52,Reported as regular cases
yoy,separate,SDM,CG-SDM,2025,2025,May,Roast & Ground,R&G Small Bag 6/300g,TDRGSB-6/300,R&G SMALL BAG 6/300GR,000HRCGU2,Closed,TPR/ISF,2025-05-31,2025-06-06,680.0,CASE,,680.0,680.0,0.14285714,1,7,97.142857,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,52,Reported as regular cases
yoy,blended,SDM,CG-SDM,2025,2025,Jun,Roast & Ground,R&G Small Bag 6/300g,TDRGSB-6/300,R&G SMALL BAG 6/300GR,000HRCGU2,Closed,TPR/ISF,2025-05-31,2025-06-06,680.0,CASE,,680.0,680.0,0.85714286,6,7,582.857143,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,52,Reported as regular cases
yoy,separate,SDM,CG-SDM,2025,2025,Jun,Roast & Ground,R&G Small Bag 6/300g,TDRGSB-6/300,R&G SMALL BAG 6/300GR,000HRCGU2,Closed,TPR/ISF,2025-05-31,2025-06-06,680.0,CASE,,680.0,680.0,0.85714286,6,7,582.857143,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,52,Reported as regular cases
yoy,blended,SDM,CG-SDM,2025,2025,May,Soups and Hot Bowls,Soups 12/540ml,TDSHSP-12/540,SOUPS 12/540ML,000HRCG0T,Closed,TPR/ISF,2025-05-31,2025-06-06,405.0,CASE,,405.0,405.0,0.14285714,1,7,57.857143,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,54,Reported as regular cases
yoy,separate,SDM,CG-SDM,2025,2025,May,Soups and Hot Bowls,Soups 12/540ml,TDSHSP-12/540,SOUPS 12/540ML,000HRCG0T,Closed,TPR/ISF,2025-05-31,2025-06-06,405.0,CASE,,405.0,405.0,0.14285714,1,7,57.857143,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,54,Reported as regular cases
yoy,blended,SDM,CG-SDM,2025,2025,Jun,Soups and Hot Bowls,Soups 12/540ml,TDSHSP-12/540,SOUPS 12/540ML,000HRCG0T,Closed,TPR/ISF,2025-05-31,2025-06-06,405.0,CASE,,405.0,405.0,0.85714286,6,7,347.142857,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,54,Reported as regular cases
yoy,separate,SDM,CG-SDM,2025,2025,Jun,Soups and Hot Bowls,Soups 12/540ml,TDSHSP-12/540,SOUPS 12/540ML,000HRCG0T,Closed,TPR/ISF,2025-05-31,2025-06-06,405.0,CASE,,405.0,405.0,0.85714286,6,7,347.142857,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,54,Reported as regular cases
yoy,blended,SDM,CG-SDM,2025,2025,May,Soups and Hot Bowls,Hot Bowls 12/425g,TDSHHB-12/425,HOT BOWLS 12/425GR,000HRCG0T,Closed,TPR/ISF,2025-05-31,2025-06-06,1895.0,CASE,,1895.0,1895.0,0.14285714,1,7,270.714286,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,55,Reported as regular cases
yoy,separate,SDM,CG-SDM,2025,2025,May,Soups and Hot Bowls,Hot Bowls 12/425g,TDSHHB-12/425,HOT BOWLS 12/425GR,000HRCG0T,Closed,TPR/ISF,2025-05-31,2025-06-06,1895.0,CASE,,1895.0,1895.0,0.14285714,1,7,270.714286,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,55,Reported as regular cases
yoy,blended,SDM,CG-SDM,2025,2025,Jun,Soups and Hot Bowls,Hot Bowls 12/425g,TDSHHB-12/425,HOT BOWLS 12/425GR,000HRCG0T,Closed,TPR/ISF,2025-05-31,2025-06-06,1895.0,CASE,,1895.0,1895.0,0.85714286,6,7,1624.285714,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,55,Reported as regular cases
yoy,separate,SDM,CG-SDM,2025,2025,Jun,Soups and Hot Bowls,Hot Bowls 12/425g,TDSHHB-12/425,HOT BOWLS 12/425GR,000HRCG0T,Closed,TPR/ISF,2025-05-31,2025-06-06,1895.0,CASE,,1895.0,1895.0,0.85714286,6,7,1624.285714,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,55,Reported as regular cases
yoy,blended,SDM,CG-SDM,2025,2025,Jun,Single Serve,SS KComp 6/10ct,TDSSKC-6/10,SS KCOMP 6/10CT,000HRCDD1,Closed,TPR/ISF,2025-06-07,2025-06-13,240.0,CASE,,240.0,240.0,1.0,7,7,240.0,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,57,Reported as regular cases
yoy,separate,SDM,CG-SDM,2025,2025,Jun,Single Serve,SS KComp 6/10ct,TDSSKC-6/10,SS KCOMP 6/10CT,000HRCDD1,Closed,TPR/ISF,2025-06-07,2025-06-13,240.0,CASE,,240.0,240.0,1.0,7,7,240.0,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,57,Reported as regular cases
yoy,blended,SDM,CG-SDM,2025,2025,Jun,Instant,Instant Coffee 12/100g,TDIC-12/100,INSTANT COFFEE 12/100GR,000HRCDD1,Closed,TPR/ISF,2025-06-07,2025-06-13,595.0,CASE,,595.0,595.0,1.0,7,7,595.0,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,58,Reported as regular cases
yoy,separate,SDM,CG-SDM,2025,2025,Jun,Instant,Instant Coffee 12/100g,TDIC-12/100,INSTANT COFFEE 12/100GR,000HRCDD1,Closed,TPR/ISF,2025-06-07,2025-06-13,595.0,CASE,,595.0,595.0,1.0,7,7,595.0,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,58,Reported as regular cases
